id,sentence,sentiment_Stanford,sentiment_Google Cloud,sentiment_Monkey Learn,Grand Truth
1,The Real Estate Institute of Australia report highlightedhousing affordability in the state had declined against income to cope with loan repayments,Negative,Positive,Negative,Negative
2, This meant repayments overall constituted 26.3 per cent of a household's income,Neutral,Neutral,Negative,Neutral
3, The average loan repayment in Tasmania was$275;217 in December compared to$266;839 the year before,Negative,Negative,Neutral,Negative
4, The average monthly repayment was$1663 against a median family income of$1458,Negative,Neutral,Neutral,Neutral
5, The state's rental affordability improved over the period with the proportion ofincome required to meet median rents downto 28.1 per cent,Negative,Positive,Neutral,Negative
6, Social service organisations sayif a person's rent is above 30 per cent of their income; this places them under housing stress,Negative,Neutral,Neutral,Neutral
7, Firsthome buyers increased by 12.6 per cent over the three months and 23.3 per cent over 12 months,Neutral,Neutral,Neutral,Neutral
8, March 6 2019  12:30PM Real Estate Institute of Australia report for December quarter released Matt Maloney Local News facebook SHARE twitter TWEET email whatsapp A national housing affordability report has shown Tasmania had the largest rise in house repayments in the country over the December quarter,Negative,Neutral,Neutral,Neutral
9, The Real Estate Institute of Australia report highlightedhousing affordability in the state had declined against income to cope with loan repayments,Negative,Positive,Negative,Negative
10, This meant repayments overall constituted 26.3 per cent of a household's income,Neutral,Neutral,Negative,Neutral
11, The average loan repayment in Tasmania was$275;217 in December compared to$266;839 the year before,Negative,Negative,Neutral,Negative
12, The average monthly repayment was$1663 against a median family income of$1458,Negative,Neutral,Neutral,Neutral
13, The state's rental affordability improved over the period with the proportion ofincome required to meet median rents downto 28.1 per cent,Negative,Positive,Neutral,Negative
14, Social service organisations sayif a person's rent is above 30 per cent of their income; this places them under housing stress,Negative,Neutral,Neutral,Neutral
15, Firsthome buyers increased by 12.6 per cent over the three months and 23.3 per cent over 12 months,Neutral,Neutral,Neutral,Neutral
16,Arts About us Story Archive Comments PolicyOf real estate; roses and living in the CBDBy SUZANNE VISSERWe left Alice Springs in 2009; after having lived here for more then a decade; because we wanted to buy a house and we were disgusted by the prices which had just gone up again; this time by 40%,Negative,Negative,Negative,Negative
17,I had just sold a business in Alice and decided to invest somewhere else,Neutral,Negative,Negative,Negative
18, Erwin Chlanda wrote an article about our departure; it was accompanied by a photo of us in the Mall; suitcases ready,Negative,Neutral,Negative,Negative
19,Alice; Love it; leave it the article was headed and it described how yet another business owner was leaving; taking her money out of Alice Springs,Negative,Positive,Negative,Negative
20, That business owner was me,Neutral,Neutral,Neutral,Neutral
21,What the photo did not show was my bleeding heart,Neutral,Negative,Neutral,Neutral
22, Ive always loved Alice; and Alice had always been good to me,Positive,Positive,Positive,Positive
23, Yet I was going to betray her; because of her real estate prices and what you could get for them,Negative,Negative,Negative,Negative
24, I cried that whole first day of the road trip to NSW,Positive,Positive,Positive,Positive
25,To cut a long story short: were back since 2012,Negative,Negative,Neutral,Negative
26, We lost the business that we bought and the house that we bought in NSW and everything else we owned,Negative,Negative,Negative,Negative
27, If I say drug Mafia; I probably do not have to explain more,Negative,Negative,Negative,Negative
28, If I say Nimbin you understand the whole story perhaps,Neutral,Neutral,Neutral,Neutral
29,What is important is that we chose to come back to Alice to find work after disaster had struck in NSW,Negative,Negative,Negative,Negative
30, Work in Alice Springs was; as usual; found in a wink,Neutral,Neutral,Positive,Neutral
31, Now we needed a house,Neutral,Positive,Positive,Positive
32,Buying was out of the question this time,Neutral,Neutral,Neutral,Neutral
33, I arrived in Alice in June 2012; six months before my husband; and lived in a share house until he joined me,Negative,Neutral,Negative,Negative
34,The share house was in a Sadadeen street that was described to me on numerous occasions as a war zone,Negative,Neutral,Neutral,Neutral
35, I decided to live in this war zone just to check out what it would be like,Neutral,Neutral,Positive,Neutral
36,I had after all lived next to the river and opposite the salt bush for many years and had walked through it to take short cuts; also at night; only to be shouted at: Hey sis; nice boots! or Want a piece of chicken; sista,Neutral,Neutral,Negative,Neutral
37,I had never locked the gates to my business; not even at night; and nothing was ever stolen except for an aluminium rose that was part of an art work,Negative,Negative,Negative,Negative
38, When I reported the stolen rose to the Alice Springs News ; Kieran Finnane wrote an article about it and a new rose appeared out of thin air!This was brought about by Mike Gillam in the Alice News of 23 October 2008,Negative,Negative,Neutral,Negative
39,The case of the stolen roseSir; Re,Neutral,Negative,Negative,Negative
40, letter to the editor pleading for the return of a stolen rose; one of three made from recycled aluminium cans by bulldozer driver; occasional sculptor and currently; law student at University of Adelaide; Simon Holding,Negative,Neutral,Negative,Negative
41,To create this exquisite vase of roses Simon painstakingly deconstructed actual roses and replicated them in metal; petal by petal,Negative,Positive,Positive,Positive
42, The artwork was subsequently sold during an exhibition of sculptures at the silver bullet cafe in 2006,Negative,Neutral,Neutral,Neutral
43,Simon was touched by the sentimental value placed on his work by local business woman; Suzanne Visser; and asked me to send her a replacement rose,Negative,Neutral,Positive,Negative
44, He also offered to weld all three long stemmed roses and the vase to an appropriate counter; plinth or other heavy steel surface!To the person who stole the sculpture I would like to add: there is a big difference between taking a flower from a garden and stealing artwork and hopefully this difference will tarnish you in the eyes of the recipient,Negative,Neutral,Negative,Negative
45,Mike GillamAlice SpringsAfter the story of the rose and my experience walking in the river and through the salt bush during my first time around in Alice I decided to ignore the war zone remarks and moved to Aneura Place in Sadadeen to wait for my husband to join me,Negative,Negative,Negative,Negative
46,I decided to never lock my car and leave things in it overnight: small items like a jumper; some change; a half full pack of cigarettes; a bottle of beer; a new towel,Negative,Negative,Positive,Negative
47,Not only did I never encounter anything that remotely resembled a war zone in that street; my car was never; not even once; opened,Negative,Negative,Negative,Negative
